Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,X_Cordinat,Y_Cordinat,Ulb_Name
Hand Pump,254,Continuous,14.7666153928,25,PH,359.803654299,404182.6551,1429814.6435,Tambaram
Hand Pump,254,Continuous,15.1175081671,25,PH,359.803654299,404134.2096,1429793.8481,Tambaram
Manhole,254,Continuous,19.6191325624,18,PMH,359.803654299,403872.5729,1429203.1142,Tambaram
Manhole,254,Continuous,19.5831435599,18,PMH,359.803654299,403931.5627,1429187.4269,Tambaram
Manhole,254,Continuous,19.5731466148,18,PMH,359.803654299,403953.38,1429182.0381,Tambaram
Manhole,254,Continuous,19.2372492582,18,PMH,359.803654299,403903.001,1429194.9515,Tambaram
Manhole,254,Continuous,14.9845487968,18,PMH,359.803654299,404080.2051,1429801.4596,Tambaram
Manhole,254,Continuous,15.0465298566,18,PMH,359.803654299,404105.6068,1429797.394,Tambaram
Manhole,254,Continuous,15.0215374938,18,PMH,359.803654299,404089.2037,1429800.5634,Tambaram
Manhole,254,Continuous,15.0665237469,18,PMH,359.803654299,404089.3445,1429796.5202,Tambaram
Manhole,254,Continuous,15.473399414,18,PMH,359.803654299,404090.3299,1429761.9324,Tambaram
Manhole,254,Continuous,15.1105103055,18,PMH,359.803654299,404213.2483,1429803.6382,Tambaram
Manhole,254,Continuous,15.107511222,18,PMH,359.803654299,404218.2059,1429802.2233,Tambaram
Manhole,254,Continuous,15.1335032793,18,PMH,359.803654299,404200.1586,1429807.4639,Tambaram
Manhole,254,Continuous,15.109510611,18,PMH,359.803654299,404208.3393,1429805.0246,Tambaram
Manhole,254,Continuous,14.9975448255,18,PMH,359.803654299,404178.7327,1429812.8693,Tambaram
Manhole,254,Continuous,15.0095411596,18,PMH,359.803654299,404185.0361,1429811.1075,Tambaram
Manhole,254,Continuous,14.9935460474,18,PMH,359.803654299,404193.9083,1429809.0709,Tambaram
Manhole,254,Continuous,15.179489227,18,PMH,359.803654299,404153.0319,1429788.5701,Tambaram
Manhole,254,Continuous,14.9795503242,18,PMH,359.803654299,404122.5201,1429794.5267,Tambaram
Manhole,254,Continuous,15.2704614277,18,PMH,359.803654299,404173.9716,1429784.6274,Tambaram
Manhole,254,Continuous,15.3334421821,18,PMH,359.803654299,404183.1686,1429774.6742,Tambaram
Manhole,254,Continuous,15.3334421821,18,PMH,359.803654299,404183.465,1429788.4813,Tambaram
TAP,254,Continuous,14.2757653865,25,PWT,359.803654299,404162.0496,1429818.6853,Tambaram
TAP,254,Continuous,14.0768261783,25,PWT,359.803654299,404186.0334,1429798.4962,Tambaram
Streetlight,254,Continuous,14.7646160038,25,PET,359.803654299,404221.7982,1429803.6999,Tambaram
Bus stop,33,Continuous,17.3178357918,25,bus,359.803654384,404115.1702,1428960.3727,Tambaram
Manhole,254,Continuous,15.5653713092,18,PMH,5.1320937329,404831.1684,1429988.7331,Tambaram
TAP,254,Continuous,15.3134482918,25,PWT,359.803654299,404799.9838,1430007.2756,Tambaram
Manhole,254,Continuous,15.2024822008,18,PMH,5.1320937329,404795.8976,1429997.0604,Tambaram
Manhole,254,Continuous,14.5136926808,18,PMH,5.1320937329,404706.4161,1430014.4433,Tambaram
TAP,254,Continuous,14.5356859601,25,PWT,359.803654299,404711.4106,1430019.9695,Tambaram
